"emp_no","from_date","to_date","title_name"
10001,"1986-06-26","9999-01-01","Senior Engineer"
10002,"1996-08-03","9999-01-01","Staff"
10003,"1995-12-03","9999-01-01","Senior Engineer"
10004,"1995-12-01","9999-01-01","Senior Engineer"
10005,"1996-09-12","9999-01-01","Senior Staff"
10006,"1990-08-05","9999-01-01","Senior Engineer"
10007,"1996-02-11","9999-01-01","Senior Staff"
10009,"1995-02-18","9999-01-01","Senior Engineer"
10010,"1996-11-24","9999-01-01","Engineer"
10012,"2000-12-18","9999-01-01","Senior Engineer"
10013,"1985-10-20","9999-01-01","Senior Staff"
10014,"1993-12-29","9999-01-01","Engineer"
10016,"1998-02-11","9999-01-01","Staff"
10017,"2000-08-03","9999-01-01","Senior Staff"
10018,"1995-04-03","9999-01-01","Senior Engineer"
10019,"1999-04-30","9999-01-01","Staff"
10020,"1997-12-30","9999-01-01","Engineer"
10022,"1999-09-03","9999-01-01","Engineer"
10023,"1999-09-27","9999-01-01","Engineer"
10024,"1998-06-14","9999-01-01","Assistant Engineer"
10026,"2001-03-19","9999-01-01","Senior Engineer"
10027,"2001-04-01","9999-01-01","Senior Engineer"
10029,"2000-09-17","9999-01-01","Senior Engineer"
10030,"2001-02-17","9999-01-01","Senior Engineer"
10031,"1998-09-01","9999-01-01","Senior Engineer"
10032,"1995-06-20","9999-01-01","Senior Engineer"
10035,"1996-09-05","9999-01-01","Senior Engineer"
10036,"1992-04-28","9999-01-01","Senior Staff"
10037,"1995-12-05","9999-01-01","Senior Engineer"
10038,"1996-09-20","9999-01-01","Senior Staff"
10039,"1997-01-18","9999-01-01","Senior Staff"
10040,"1999-02-14","9999-01-01","Senior Engineer"
10041,"1998-11-12","9999-01-01","Senior Staff"
10043,"1997-10-20","9999-01-01","Senior Engineer"
10044,"1994-05-21","9999-01-01","Technique Leader"
10045,"1996-11-16","9999-01-01","Engineer"
10046,"2000-06-20","9999-01-01","Senior Staff"
10047,"1998-03-31","9999-01-01","Senior Engineer"
10049,"2000-05-04","9999-01-01","Senior Staff"
10050,"1999-12-25","9999-01-01","Senior Staff"
10051,"1998-10-15","9999-01-01","Senior Engineer"
10052,"2002-01-31","9999-01-01","Senior Staff"
10053,"1994-11-13","9999-01-01","Senior Staff"
10054,"2000-07-28","9999-01-01","Senior Staff"
10056,"1999-02-01","9999-01-01","Senior Engineer"
10057,"2000-01-15","9999-01-01","Senior Engineer"
10058,"1988-04-25","9999-01-01","Senior Staff"
10059,"1991-06-26","9999-01-01","Senior Staff"
10060,"1996-05-28","9999-01-01","Senior Staff"
10061,"1989-12-02","9999-01-01","Senior Staff"
10062,"1999-08-30","9999-01-01","Senior Engineer"
10063,"1989-04-08","9999-01-01","Senior Engineer"
10065,"1998-05-24","9999-01-01","Engineer"
10066,"1998-02-25","9999-01-01","Senior Engineer"
10067,"1996-03-03","9999-01-01","Senior Engineer"
10068,"1996-08-06","9999-01-01","Senior Staff"
10069,"1992-06-14","9999-01-01","Technique Leader"
10070,"1985-10-14","9999-01-01","Technique Leader"
10071,"1995-08-05","9999-01-01","Staff"
10072,"1995-05-21","9999-01-01","Senior Engineer"
10074,"1990-08-13","9999-01-01","Technique Leader"
10076,"1996-07-15","9999-01-01","Senior Engineer"
10077,"1994-12-23","9999-01-01","Staff"
10078,"1994-09-29","9999-01-01","Engineer"
10079,"1995-12-13","9999-01-01","Technique Leader"
10080,"2001-09-28","9999-01-01","Senior Staff"
10081,"1991-10-30","9999-01-01","Senior Engineer"
10083,"1994-03-31","9999-01-01","Senior Engineer"
10084,"2001-12-14","9999-01-01","Senior Engineer"
10085,"1994-04-09","9999-01-01","Senior Engineer"
10086,"1999-02-19","9999-01-01","Senior Staff"
10088,"1993-09-02","9999-01-01","Senior Staff"
10089,"1996-01-11","9999-01-01","Senior Staff"
