"count","dept_no","title_name"
3355,"d001","Senior Staff"
1037,"d001","Staff"
875,"d002","Staff"
2884,"d002","Senior Staff"
2996,"d003","Senior Staff"
928,"d003","Staff"
1,"d003","Manager"
1456,"d004","Technique Leader"
1,"d004","Manager"
9922,"d004","Engineer"
390,"d004","Senior Staff"
2859,"d004","Senior Engineer"
99,"d004","Staff"
1445,"d004","Assistant Engineer"
118,"d005","Staff"
3269,"d005","Senior Engineer"
1649,"d005","Assistant Engineer"
1590,"d005","Technique Leader"
329,"d005","Senior Staff"
11413,"d005","Engineer"
2849,"d006","Engineer"
1,"d006","Manager"
801,"d006","Senior Engineer"
397,"d006","Technique Leader"
400,"d006","Assistant Engineer"
2650,"d007","Staff"
8685,"d007","Senior Staff"
1,"d007","Manager"
626,"d008","Engineer"
96,"d008","Assistant Engineer"
207,"d008","Senior Engineer"
94,"d008","Technique Leader"
880,"d008","Staff"
1,"d008","Manager"
2834,"d008","Senior Staff"
1,"d009","Manager"
522,"d009","Engineer"
64,"d009","Technique Leader"
3453,"d009","Senior Staff"
169,"d009","Senior Engineer"
1047,"d009","Staff"
64,"d009","Assistant Engineer"
